placement,order,traffic,traffic_kind,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,window
ord3_xor_bg,col-rank-bank-row-bg,random,random,0.0,1.0,0.0311,0.0,0.0,0.0093,0.016223439832538596,0.032414811429345075,20.3724,32
ord3_xor_bg,col-rank-bank-row-bg,locality,locality,0.0022,0.9978,0.22675,0.0,0.0,0.0081,0.10292599282979979,0.10889995408630805,10.19555,32
ord4_direct,col-rank-row-bg-bank,linear,linear,0.9687,0.0313,0.03125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord4_direct,col-rank-row-bg-bank,strided,strided,0.87495,0.12505,0.125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord4_direct,col-rank-row-bg-bank,random,random,0.0,1.0,0.0298,0.0,0.0,0.0093,0.018041064270158787,0.043185182644050496,20.39905,32
ord4_direct,col-rank-row-bg-bank,locality,locality,0.0008,0.9992,0.9029,0.0,0.0,0.0081,0.07916185950317235,0.18612769809998728,3.79805,32
ord4_xor_rank,col-rank-row-bg-bank,linear,linear,0.9687,0.0313,0.03125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord4_xor_rank,col-rank-row-bg-bank,strided,strided,0.87495,0.12505,0.125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord4_xor_rank,col-rank-row-bg-bank,random,random,0.0,1.0,0.0298,0.0,0.0,0.0045,0.018041064270158787,0.043185182644050496,20.39905,32
ord4_xor_rank,col-rank-row-bg-bank,locality,locality,0.0008,0.9992,0.9029,0.0,0.0,0.0006,0.07916185950317235,0.18612769809998728,3.79805,32
ord4_xor_bg,col-rank-row-bg-bank,linear,linear,0.9687,0.0313,0.03125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord4_xor_bg,col-rank-row-bg-bank,strided,strided,0.87495,0.12505,0.125,0.0,0.0,0.0,2.6457513110645903,5.5677643628300215,1.0,32
ord4_xor_bg,col-rank-row-bg-bank,random,random,0.0,1.0,0.03025,0.0,0.0,0.0093,0.020992379569739112,0.04275885873126176,20.47255,32
